x,y,error
0.0,5.443229120394561,0.3377249567548702
0.5,5.19895139636167,0.4338198252986134
1.0,7.701816389015539,0.9670519478048878
1.5,7.255277311034167,0.729390535587992
2.0,8.994957798364442,0.8686046770587594
2.5,10.504381753414524,0.33667557444636836
3.0,10.43662035329606,0.700924193166289
3.5,12.20243725665822,0.7599465128360249
4.0,13.790871225670914,0.5949787913724038
4.5,14.617057355279513,0.929632944609339
5.0,15.219932184656557,0.5067266464264131
5.5,16.65032359478912,0.42511837202920544
6.0,17.42551882368008,0.4670002716583846
6.5,18.52516611472354,0.4161742736039524
7.0,18.546923446163454,0.5514137552789906
7.5,19.959150703116023,0.37191587780871405
8.0,21.958610630288927,0.7706047374220322
8.5,21.73685615656847,0.7992993095026575
9.0,22.167731937695667,0.9912378425983723
9.5,23.523786614806973,0.7171120063975369
10.0,25.02033466693452,0.4233155794529007
10.5,26.767427488323612,0.9126873563713671
11.0,27.73764149635574,0.43571514162629515
11.5,27.82407781267993,0.8970873292788704
12.0,28.224632686537802,0.33901539620678994
12.5,29.979808931650425,0.3684054077267639
13.0,31.57361486537348,0.9512337150107981
13.5,31.477445564126,0.7398474914932318
14.0,32.80776859641144,0.4258717726964675
14.5,33.1321222650503,0.571324330862989
15.0,35.73927871566097,0.9169856964969398
15.5,36.685757425965406,0.5423576989172928
16.0,36.82054757252918,0.7538046023085421
16.5,38.91838754834027,0.8324150145456235
17.0,39.19788703249149,0.7892288287835296
17.5,39.27508077763673,0.9075853095267326
18.0,41.386722202644556,0.49142355224561685
18.5,42.96567336652953,0.7600766463607631
19.0,43.67207859318832,0.9649064274862711
19.5,44.72802871787864,0.6826455387359589
20.0,45.609161352894574,0.4137987114621833
20.5,45.805267036723855,0.8673454014072721
21.0,46.239649759459475,0.9534642364352941
21.5,47.357961320977296,0.7962313840115411
22.0,48.24626162320528,0.3042852213579097
22.5,49.3247854680129,0.37154179325900205
23.0,51.397509813331354,0.46923302171705267
23.5,51.76460652417574,0.4301842818152918
24.0,53.877279574352826,0.7599350765102758
24.5,53.38479074606883,0.8231916892978357
